acm	ListCertificates
apigateway	GET
athena	List*
autoscaling	Describe*
cloudwatch	Get*
cloudwatch	List*
cognito-idp	List*
dynamodb	DescribeBackup
dynamodb	DescribeContinuousBackups
dynamodb	DescribeGlobalTable
dynamodb	DescribeGlobalTableSettings
dynamodb	DescribeLimits
dynamodb	DescribeReservedCapacity
dynamodb	DescribeReservedCapacityOfferings
dynamodb	DescribeStream
dynamodb	DescribeTable
dynamodb	DescribeTimeToLive
dynamodb	ListBackups
dynamodb	ListExports
dynamodb	ListGlobalTables
dynamodb	ListStreams
dynamodb	ListTables
dynamodb	ListTagsOfResource
ec2	DescribeAccountAttributes
ec2	DescribeAddresses
ec2	DescribeAvailabilityZones
ec2	DescribeBundleTasks
ec2	DescribeCarrierGateways
ec2	DescribeClassicLinkInstances
ec2	DescribeConversionTasks
ec2	DescribeCustomerGateways
ec2	DescribeDhcpOptions
ec2	DescribeExportTasks
ec2	DescribeFlowLogs
ec2	DescribeHost*
ec2	DescribeIdentityIdFormat
ec2	DescribeIdFormat
ec2	DescribeImage*
ec2	DescribeImport*
ec2	DescribeInstance*
ec2	DescribeInternetGateways
ec2	DescribeKeyPairs
ec2	DescribeLocalGatewayRouteTables
ec2	DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations
ec2	DescribeLocalGatewayRouteTableVpcAssociations
ec2	DescribeLocalGateways
ec2	DescribeLocalGatewayVirtualInterfaceGroups
ec2	DescribeLocalGatewayVirtualInterfaces
ec2	DescribeMovingAddresses
ec2	DescribeNatGateways
ec2	DescribeNetwork*
ec2	DescribePlacementGroups
ec2	DescribePrefixLists
ec2	DescribeRegions
ec2	DescribeReserved*
ec2	DescribeRouteTables
ec2	DescribeSecurityGroupRules
ec2	DescribeSecurityGroups
ec2	DescribeSnapshot*
ec2	DescribeSpot*
ec2	DescribeSubnets
ec2	DescribeTags
ec2	DescribeVolume*
ec2	DescribeVpc*
ec2	DescribeVpnGateways
ec2	SearchLocalGatewayRoutes
ecr	DescribeRegistry
ecr	DescribeRepositories
ecr	ListImages
ecs	Describe*
ecs	List*
eks	ListTagsForResource
elasticfilesystem	DescribeFileSystems
elasticloadbalancing	DescribeInstanceHealth
elasticloadbalancing	DescribeListeners
elasticloadbalancing	DescribeLoadBalancerAttributes
elasticloadbalancing	DescribeLoadBalancers
elasticloadbalancing	DescribeTargetGroups
elasticloadbalancing	DescribeTargetHealth
events	ListRuleNamesByTarget
events	ListRules
events	ListTargetsByRule
glue	GetTags
iam	GetAccountSummary
iam	GetLoginProfile
iam	List*
kafka	ListClusters
kms	ListKeys
kms	ListResourceTags
lambda	List*
logs	Describe*
logs	GetTransformer
logs	ListEntitiesForLogGroup
logs	ListLogGroupsForEntity
logs	ListLogGroupsForQuery
logs	ListTagsForResource
rds	Describe*
redshift	DescribeClusters
redshift	DescribeEvents
redshift	ViewQueriesInConsole
s3	ListAllMyBuckets
s3	ListBucket
s3	ListMultiRegionAccessPoints
sns	List*
sqs	GetQueueAttributes
sqs	GetQueueUrl
sqs	ListDeadLetterSourceQueues
sqs	ListMessageMoveTasks
sqs	ListQueues
sqs	ListQueueTags
ssm	ListAssociations
ssm	ListDocuments
states	ListActivities
states	ListExecutions
states	ListMapRuns
states	ListStateMachineAliases
states	ListStateMachines
states	ListStateMachineVersions
